# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00001 |  9.048e+001  | Detector |
 00002 |  1.416e+002  | Detector |
 00003 |  1.282e+002  | Detector |
 00004 |  1.340e+002  | Detector |
 00005 |  1.357e+002  | Detector |
 00006 |  1.364e+002  | Detector |
 00007 |  1.363e+002  | Detector |
 00008 |  1.365e+002  | Detector |
 00009 |  1.364e+002  | Detector |
 00010 |  1.365e+002  | Detector |
 00011 |  1.363e+002  | Detector |
 00012 |  1.363e+002  | Detector |
 00013 |  1.362e+002  | Detector |
 00014 |  1.363e+002  | Detector |
 00015 |  1.361e+002  | Detector |
 00016 |  1.360e+002  | Detector |
 00017 |  1.351e+002  | Detector |
 00018 |  1.339e+002  | Detector |
 00019 |  1.287e+002  | Detector |
 00020 |  9.043e+001  | Detector |
 00021 |  1.046e+002  | Detector |
 00022 |  1.669e+000  | Detector |
 00023 |  9.049e+001  | Detector |
 00024 |  9.438e+001  | Detector |
 00025 |  1.137e+002  | Detector |
 00026 |  1.171e+002  | Detector |
 00027 |  1.182e+002  | Detector |
 00028 |  1.185e+002  | Detector |
 00029 |  1.184e+002  | Detector |
 00030 |  1.187e+002  | Detector |
 00031 |  1.188e+002  | Detector |
 00032 |  1.185e+002  | Detector |
 00033 |  1.186e+002  | Detector |
 00034 |  1.183e+002  | Detector |
 00035 |  1.181e+002  | Detector |
 00036 |  1.180e+002  | Detector |
 00037 |  1.172e+002  | Detector |
 00038 |  1.158e+002  | Detector |
 00039 |  1.123e+002  | Detector |
 00040 |  9.457e+001  | Detector |
 00041 |  1.583e+000  | Detector |
 00042 |  2.390e+000  | Detector |
 00043 |  9.441e+001  | Detector |
 00044 |  1.282e+002  | Detector |
 00045 |  1.034e+002  | Detector |
 00046 |  1.072e+002  | Detector |
 00047 |  1.078e+002  | Detector |
 00048 |  1.083e+002  | Detector |
 00049 |  1.082e+002  | Detector |
 00050 |  1.080e+002  | Detector |
 00051 |  1.080e+002  | Detector |
 00052 |  1.082e+002  | Detector |
 00053 |  1.081e+002  | Detector |
 00054 |  1.078e+002  | Detector |
 00055 |  1.075e+002  | Detector |
 00056 |  1.075e+002  | Detector |
 00057 |  1.071e+002  | Detector |
 00058 |  1.067e+002  | Detector |
 00059 |  1.052e+002  | Detector |
 00060 |  1.031e+002  | Detector |
 00061 |  9.659e+001  | Detector |
 00062 |  7.911e+001  | Detector |
 00063 |  7.917e+001  | Detector |
 00064 |  1.138e+002  | Detector |
 00065 |  1.340e+002  | Detector |
 00066 |  1.070e+002  | Detector |
 00067 |  1.044e+002  | Detector |
 00068 |  1.039e+002  | Detector |
 00069 |  1.034e+002  | Detector |
 00070 |  1.034e+002  | Detector |
 00071 |  1.033e+002  | Detector |
 00072 |  1.033e+002  | Detector |
 00073 |  1.033e+002  | Detector |
 00074 |  1.032e+002  | Detector |
 00075 |  1.030e+002  | Detector |
 00076 |  1.027e+002  | Detector |
 00077 |  1.024e+002  | Detector |
 00078 |  1.021e+002  | Detector |
 00079 |  1.015e+002  | Detector |
 00080 |  1.006e+002  | Detector |
 00081 |  9.926e+001  | Detector |
 00082 |  9.680e+001  | Detector |
 00083 |  9.229e+001  | Detector |
