# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/05	15:25:36
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Double Slab Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |         Name         |
#      |    krad (Si) |                      |
 00001 |  5.958e+000  | (0,0,0)              |
 00002 |  6.058e+000  | (85.125, 0, 0)       |
 00003 |  4.721e+000  | (169.25, 0, 0)       |
 00004 |  5.914e+000  | (0, 56.575, 0)       |
 00005 |  6.065e+000  | (85.125, 56.575, 0)  |
 00006 |  4.747e+000  | (169.25, 56.575, 0)  |
 00007 |  4.698e+000  | (0, 112.15, 0)       |
 00008 |  4.742e+000  | (85.125, 112.15, 0)  |
 00009 |  4.680e+000  | (169.25, 112.15,0)   |
 00010 |  5.775e+000  | (0, 0, 25)           |
 00011 |  5.816e+000  | (85.125, 0, 25)      |
 00012 |  4.652e+000  | (169.25, 0, 25)      |
 00013 |  5.727e+000  | (0, 56.575, 25)      |
 00014 |  5.809e+000  | (85.125, 56.575, 25) |
 00015 |  4.666e+000  | (169.25, 56.575, 25) |
 00016 |  4.659e+000  | (0, 112.15, 25)      |
 00017 |  4.673e+000  | (85.125, 112.15, 25) |
 00018 |  4.671e+000  | (169.25, 112.15, 25) |
 00019 |  5.330e+000  | (0, 0, 49)           |
 00020 |  5.266e+000  | (85.125, 0, 49)      |
 00021 |  4.945e+000  | (169.25, 0, 49)      |
 00022 |  5.152e+000  | (0, 56.575, 49)      |
 00023 |  5.138e+000  | (85.125, 56.575, 49) |
 00024 |  4.892e+000  | (169.25, 56.575, 49) |
 00025 |  5.008e+000  | (0, 112.15, 49)      |
 00026 |  4.961e+000  | (85.125, 112.15, 49) |
 00027 |  5.256e+000  | (169.25, 112.15, 49) |
 00028 |  9.004e+001  | Outside (Positive X) |
 00029 |  9.022e+001  | (0,0,0)              |
 00030 |  9.022e+001  | (85.125, 0, 0)       |
 00031 |  9.073e+001  | (169.25, 0, 0)       |
 00032 |  9.020e+001  | (0, 56.575, 0)       |
 00033 |  9.020e+001  | (85.125, 56.575, 0)  |
 00034 |  9.071e+001  | (169.25, 56.575, 0)  |
 00035 |  9.073e+001  | (0, 112.15, 0)       |
 00036 |  9.072e+001  | (85.125, 112.15, 0)  |
 00037 |  9.122e+001  | (169.25, 112.15,0)   |
 00038 |  5.775e+000  | (0, 0, 25)           |
 00039 |  5.816e+000  | (85.125, 0, 25)      |
 00040 |  4.652e+000  | (169.25, 0, 25)      |
 00041 |  5.727e+000  | (0, 56.575, 25)      |
 00042 |  5.809e+000  | (85.125, 56.575, 25) |
 00043 |  4.666e+000  | (169.25, 56.575, 25) |
 00044 |  4.659e+000  | (0, 112.15, 25)      |
 00045 |  4.673e+000  | (85.125, 112.15, 25) |
 00046 |  4.671e+000  | (169.25, 112.15, 25) |
 00047 |  5.965e+000  | (0, 0, 49)           |
 00048 |  6.068e+000  | (85.125, 0, 49)      |
 00049 |  4.732e+000  | (169.25, 0, 49)      |
 00050 |  5.904e+000  | (0, 56.575, 49)      |
 00051 |  6.054e+000  | (85.125, 56.575, 49) |
 00052 |  4.745e+000  | (169.25, 56.575, 49) |
 00053 |  4.693e+000  | (0, 112.15, 49)      |
 00054 |  4.732e+000  | (85.125, 112.15, 49) |
 00055 |  4.677e+000  | (169.25, 112.15, 49) |
 00056 |  1.342e+002  | Outside (Positive X) |
 00057 |  4.721e+000  | (0,0,0)              |
 00058 |  6.047e+000  | (85.125, 0, 0)       |
 00059 |  5.958e+000  | (169.25, 0, 0)       |
 00060 |  4.747e+000  | (0, 56.575, 0)       |
 00061 |  6.053e+000  | (85.125, 56.575, 0)  |
 00062 |  5.914e+000  | (169.25, 56.575, 0)  |
 00063 |  4.524e+000  | (0, 112.15, 0)       |
 00064 |  4.735e+000  | (85.125, 112.15, 0)  |
 00065 |  4.698e+000  | (169.25, 112.15,0)   |
 00066 |  4.653e+000  | (0, 0, 25)           |
 00067 |  5.811e+000  | (85.125, 0, 25)      |
 00068 |  5.775e+000  | (169.25, 0, 25)      |
 00069 |  4.666e+000  | (0, 56.575, 25)      |
 00070 |  5.804e+000  | (85.125, 56.575, 25) |
 00071 |  5.727e+000  | (169.25, 56.575, 25) |
 00072 |  4.516e+000  | (0, 112.15, 25)      |
 00073 |  4.670e+000  | (85.125, 112.15, 25) |
 00074 |  4.660e+000  | (169.25, 112.15, 25) |
 00075 |  4.789e+000  | (0, 0, 49)           |
 00076 |  5.266e+000  | (85.125, 0, 49)      |
 00077 |  5.330e+000  | (169.25, 0, 49)      |
 00078 |  4.736e+000  | (0, 56.575, 49)      |
 00079 |  5.138e+000  | (85.125, 56.575, 49) |
 00080 |  5.152e+000  | (169.25, 56.575, 49) |
 00081 |  5.042e+000  | (0, 112.15, 49)      |
 00082 |  4.961e+000  | (85.125, 112.15, 49) |
 00083 |  5.008e+000  | (169.25, 112.15, 49) |
 00084 |  5.958e+000  | Outside (Positive X) |
 00085 |  5.958e+000  | (0,0,0)              |
 00086 |  6.058e+000  | (85.125, 0, 0)       |
